Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,26/10/2019,17:30,Leverkusen,Werder Bremen,2,2,1.44,2.75
D1,27/10/2019,14:30,Wolfsburg,Augsburg,0,0,1.61,2.3
D1,27/10/2019,17:00,M'gladbach,Ein Frankfurt,4,2,1.5,2.62
D1,1/11/2019,19:30,Hoffenheim,Paderborn,3,0,1.3,3.5
D1,2/11/2019,14:30,Dortmund,Wolfsburg,3,0,1.61,2.3
D1,2/11/2019,14:30,Ein Frankfurt,Bayern Munich,5,1,1.3,3.5
D1,2/11/2019,14:30,Leverkusen,M'gladbach,1,2,1.5,2.62
D1,2/11/2019,14:30,RB Leipzig,Mainz,8,0,1.4,3
D1,2/11/2019,14:30,Werder Bremen,Freiburg,2,2,1.66,2.2
D1,2/11/2019,17:30,Union Berlin,Hertha,1,0,1.9,1.9
D1,3/11/2019,14:30,Fortuna Dusseldorf,FC Koln,2,0,1.57,2.37
D1,3/11/2019,17:00,Augsburg,Schalke 04,2,3,1.72,2.1
D1,8/11/2019,19:30,FC Koln,Hoffenheim,1,2,1.61,2.3
D1,9/11/2019,14:30,Hertha,RB Leipzig,2,4,1.57,2.37
D1,9/11/2019,14:30,Mainz,Union Berlin,2,3,1.9,1.9
D1,9/11/2019,14:30,Paderborn,Augsburg,0,1,1.44,2.75
D1,9/11/2019,14:30,Schalke 04,Fortuna Dusseldorf,3,3,1.72,2.1
D1,9/11/2019,17:30,Bayern Munich,Dortmund,4,0,1.4,3
D1,10/11/2019,12:30,M'gladbach,Werder Bremen,3,1,1.53,2.5
D1,10/11/2019,14:30,Wolfsburg,Leverkusen,0,2,1.8,2
D1,10/11/2019,17:00,Freiburg,Ein Frankfurt,1,0,1.66,2.2
D1,22/11/2019,19:30,Dortmund,Paderborn,3,3,1.22,4.33
D1,23/11/2019,14:30,Ein Frankfurt,Wolfsburg,0,2,1.66,2.2
D1,23/11/2019,14:30,Fortuna Dusseldorf,Bayern Munich,0,4,1.3,3.5
D1,23/11/2019,14:30,Leverkusen,Freiburg,1,1,1.53,2.5
D1,23/11/2019,14:30,Union Berlin,M'gladbach,2,0,1.72,2.1
D1,23/11/2019,14:30,Werder Bremen,Schalke 04,1,2,1.57,2.37
D1,23/11/2019,17:30,RB Leipzig,FC Koln,4,1,1.4,3
D1,24/11/2019,14:30,Augsburg,Hertha,4,0,1.72,2.1
